Fecha,Producto,Ventas
2024-07-26,Hielo en Bolsa,75
2024-06-19,Hielo en Bolsa,41
2024-03-28,Cerveza Pacifico,67
2025-02-04,Bloqueador Solar,22
2024-03-23,Hielo en Bolsa,85
2025-06-17,Cerveza Pacifico,75
2024-02-13,Hielo en Bolsa,41
2024-11-05,Bloqueador Solar,49
2024-03-06,Bloqueador Solar,32
2024-09-17,Cerveza Pacifico,82
2025-07-28,Cerveza Pacifico,80
2025-06-13,Hielo en Bolsa,108
2024-06-29,Bloqueador Solar,85
2024-06-24,Bloqueador Solar,38
2025-02-28,Hielo en Bolsa,90
2025-01-27,Hielo en Bolsa,57
2025-02-06,Hielo en Bolsa,57
2024-05-01,Bloqueador Solar,26
2024-11-27,Bloqueador Solar,24
2024-07-19,Hielo en Bolsa,77
2026-01-28,Bloqueador Solar,43
2026-01-12,Hielo en Bolsa,64
2025-06-30,Hielo en Bolsa,37
2024-10-17,Bloqueador Solar,48
2025-08-10,Bloqueador Solar,89
2024-09-30,Cerveza Pacifico,76
2025-02-18,Bloqueador Solar,146
2024-06-29,Hielo en Bolsa,108
2024-12-10,Cerveza Pacifico,79
2025-01-16,Bloqueador Solar,31
2025-03-01,Cerveza Pacifico,111
2024-08-04,Hielo en Bolsa,80
2024-06-05,Bloqueador Solar,27
2025-09-05,Bloqueador Solar,55
2026-01-17,Bloqueador Solar,76
2025-11-13,Bloqueador Solar,33
2025-03-25,Bloqueador Solar,18
2025-04-13,Bloqueador Solar,218
2025-03-18,Hielo en Bolsa,45
2026-02-23,Bloqueador Solar,152
2024-05-17,Cerveza Pacifico,130
2025-06-25,Hielo en Bolsa,45
2025-10-08,Hielo en Bolsa,39
2025-05-26,Hielo en Bolsa,42
2025-11-05,Cerveza Pacifico,89
2024-05-05,Hielo en Bolsa,94
2024-05-14,Bloqueador Solar,26
2024-10-12,Bloqueador Solar,73
2024-03-24,Hielo en Bolsa,79
2024-03-26,Hielo en Bolsa,44
2025-09-25,Bloqueador Solar,20
2024-01-29,Cerveza Pacifico,80
2024-12-02,Hielo en Bolsa,50
2024-11-07,Bloqueador Solar,41
2024-06-24,Hielo en Bolsa,48
2025-12-17,Cerveza Pacifico,74
2024-06-23,Bloqueador Solar,74
2026-01-29,Hielo en Bolsa,54
2024-08-30,Hielo en Bolsa,108
2026-02-11,Hielo en Bolsa,62
2025-04-03,Bloqueador Solar,192
2026-02-08,Bloqueador Solar,71
2024-01-19,Bloqueador Solar,69
2024-04-23,Cerveza Pacifico,92
2024-04-03,Hielo en Bolsa,198
2024-09-28,Bloqueador Solar,81
2024-07-05,Bloqueador Solar,74
2024-09-16,Hielo en Bolsa,49
2024-04-28,Cerveza Pacifico,110
2026-02-06,Bloqueador Solar,84
2025-06-17,Hielo en Bolsa,47
2025-12-04,Hielo en Bolsa,56
2025-07-26,Bloqueador Solar,88
2025-06-09,Hielo en Bolsa,35
2024-11-02,Cerveza Pacifico,133
2025-10-31,Cerveza Pacifico,133
2026-01-07,Bloqueador Solar,48
2024-02-03,Hielo en Bolsa,91
2024-12-17,Bloqueador Solar,29
2024-08-12,Cerveza Pacifico,90
2026-01-31,Cerveza Pacifico,129
2024-02-22,Bloqueador Solar,147
2025-01-16,Hielo en Bolsa,36
2024-04-06,Hielo en Bolsa,253
