Fecha,Producto,Ventas
2023-01-03,Servicio: Formateo,1
2023-01-04,Servicio: Formateo,1
2023-01-04,Servicio: Limpieza Estandar,1
2023-01-04,Servicio: Programas Basicos,1
2023-01-04,Servicio: Reparacion Bisagras/Display,1
2023-01-05,Servicio: Diagnostico Humedad/Plaga,1
2023-01-05,Servicio: Formateo,1
2023-01-05,Servicio: Limpieza Estandar,1
2023-01-05,Servicio: Programas Basicos,1
2023-01-05,Servicio: Programas Especialidad,1
2023-01-06,Servicio: Programas Basicos,1
2023-01-08,Servicio: Limpieza Estandar,2
2023-01-08,Servicio: Programas Especialidad,1
2023-01-12,Servicio: Programas Basicos,2
2023-01-12,Servicio: Programas Especialidad,1
2023-01-15,Servicio: Cambio Teclado,1
2023-01-15,Servicio: Formateo,1
2023-01-15,Servicio: Limpieza Estandar,1
2023-01-16,Servicio: Cambio Teclado,1
2023-01-16,Servicio: Formateo,1
2023-01-18,Servicio: Formateo,1
2023-01-20,Servicio: Limpieza Estandar,2
2023-01-24,Servicio: Limpieza Estandar,2
2023-01-24,Servicio: Formateo,1
2023-01-25,Servicio: Formateo,1
2023-01-25,Servicio: Limpieza Estandar,1
2023-01-25,Servicio: Programas Basicos,1
2023-01-27,Servicio: Limpieza Estandar,2
2023-01-31,Servicio: Formateo,1
2023-02-01,Servicio: Programas Basicos,1
2023-02-02,Servicio: Programas Especialidad,1
2023-02-04,Servicio: Formateo,1
2023-02-09,Servicio: Programas Basicos,1
2023-02-09,Servicio: Formateo,1
2023-02-09,Servicio: Limpieza Estandar,1
2023-02-10,Servicio: Limpieza Estandar,4
2023-02-11,Servicio: Limpieza Estandar,1
2023-02-14,Servicio: Formateo,1
2023-02-15,Servicio: Formateo,2
2023-02-18,Servicio: Programas Basicos,1
2023-03-03,Servicio: Limpieza Estandar,2
2023-03-15,Servicio: Formateo,1
2023-03-23,Servicio: Formateo,1
2023-04-12,Servicio: Cambio Fuente Poder,1
2023-06-08,Servicio: Limpieza Estandar,1
2023-06-21,Servicio: Formateo,1
2023-06-22,Servicio: Limpieza Estandar,1
2023-06-23,Servicio: Limpieza Estandar,2
2023-06-23,Servicio: Programas Especialidad,1
2023-06-23,Servicio: Formateo,1
2023-06-25,Servicio: Limpieza Gamer/AIO,1
2023-07-04,Servicio: Formateo,1
2023-07-04,Servicio: Limpieza Estandar,1
2023-07-06,Servicio: Limpieza Estandar,1
2023-07-06,Servicio: Reparacion Bisagras/Display,1
2023-07-31,Servicio: Formateo,1
2023-07-31,Servicio: Limpieza Estandar,3
2023-08-02,Servicio: Formateo,1
2023-08-09,Servicio: Formateo,2
2023-08-09,Servicio: Limpieza Estandar,1
2023-08-09,Servicio: Ensamble Completo,1
2023-08-11,Servicio: Cambio Teclado,1
2023-08-15,Servicio: Limpieza Estandar,2
2023-08-16,Servicio: Formateo,1
2023-08-21,Servicio: Formateo,1
2023-08-23,Servicio: Limpieza Estandar,2
2023-08-28,Servicio: Limpieza Estandar,1
2023-08-28,Servicio: Limpieza Gamer/AIO,1
2023-08-31,Servicio: Limpieza Estandar,2
2023-09-01,Servicio: Formateo,2
2023-09-02,Servicio: Limpieza Estandar,1
2023-09-03,Servicio: Limpieza Estandar,1
2023-09-05,Servicio: Limpieza Estandar,1
2023-09-12,Servicio: Formateo,1
2023-09-18,Servicio: Limpieza Estandar,2
2023-09-19,Servicio: Cambio Teclado,1
2023-09-19,Servicio: Limpieza Estandar,1
2023-09-25,Servicio: Cambio Teclado,1
2023-09-25,Servicio: Formateo,1
2023-09-26,Servicio: Formateo,1
2023-09-26,Servicio: Limpieza Estandar,1
2023-09-28,Servicio: Programas Basicos,1
2023-10-03,Servicio: Formateo,1
2023-10-03,Servicio: Limpieza Estandar,1
2023-10-03,Servicio: Programas Especialidad,1
2023-10-05,Servicio: Formateo,1
2023-10-07,Servicio: Limpieza Estandar,1
2023-10-09,Servicio: Limpieza Estandar,2
2023-10-11,Servicio: Formateo,1
2023-10-11,Servicio: Limpieza Estandar,1
2023-10-11,Servicio: Programas Especialidad,1
2023-10-14,Servicio: Formateo,1
2023-10-14,Servicio: Limpieza Gamer/AIO,1
2023-10-17,Servicio: Formateo,1
2023-10-17,Servicio: Programas Basicos,1
2023-10-19,Servicio: Formateo,1
2023-10-19,Servicio: Limpieza Estandar,1
2023-10-20,Servicio: Limpieza Estandar,1
2023-10-25,Servicio: Programas Especialidad,1
2023-10-25,Servicio: Formateo,1
2023-10-27,Servicio: Formateo,1
2023-10-28,Servicio: Reparacion Bisagras/Display,1
2023-10-29,Servicio: Limpieza Gamer/AIO,1
2023-10-31,Servicio: Limpieza Estandar,1
2023-10-31,Servicio: Reparacion Bisagras/Display,1
2023-11-04,Servicio: Limpieza Estandar,1
2023-11-06,Servicio: Limpieza Estandar,1
2023-11-08,Servicio: Formateo,1
2023-11-22,Servicio: Formateo,1
2023-11-22,Servicio: Limpieza Estandar,1
2023-11-23,Servicio: Cambio Teclado,1
2023-11-24,Servicio: Formateo,1
2023-11-27,Servicio: Formateo,1
2023-11-27,Servicio: Limpieza Estandar,1
2023-11-27,Servicio: Programas Basicos,1
2023-11-29,Servicio: Formateo,2
2023-12-07,Servicio: Formateo,2
2023-12-11,Servicio: Programas Basicos,1
2023-12-13,Servicio: Formateo,1
2023-12-13,Servicio: Limpieza Estandar,3
2024-01-18,Servicio: Cambio Fuente Poder,1
2024-01-18,Servicio: Limpieza Estandar,2
2024-01-19,Servicio: Programas Basicos,1
2024-01-19,Servicio: Reparacion Bisagras/Display,1
2024-01-19,Servicio: Limpieza Estandar,1
2024-01-20,Servicio: Limpieza Estandar,1
2024-01-22,Servicio: Limpieza Estandar,1
2024-01-22,Servicio: Programas Basicos,1
2024-01-24,Servicio: Limpieza Estandar,1
2024-01-25,Servicio: Limpieza Estandar,1
2024-01-30,Servicio: Limpieza Gamer/AIO,1
2024-01-31,Servicio: Formateo,1
2024-01-31,Servicio: Limpieza Estandar,2
2024-02-02,Servicio: Formateo,1
2024-02-02,Servicio: Limpieza Estandar,1
2024-02-06,Servicio: Limpieza Gamer/AIO,1
2024-02-08,Servicio: Formateo,1
2024-02-16,Servicio: Limpieza Estandar,1
2024-02-18,Servicio: Cambio Teclado,1
2024-02-18,Servicio: Limpieza Estandar,1
2024-02-24,Servicio: Formateo,1
2024-02-24,Servicio: Limpieza Estandar,2
2024-02-24,Servicio: Programas Basicos,1
2024-02-27,Servicio: Limpieza Gamer/AIO,1
2024-02-29,Servicio: Formateo,1
2024-03-05,Servicio: Formateo,1
2024-03-05,Servicio: Programas Basicos,2
2024-03-06,Servicio: Limpieza Estandar,1
2024-03-08,Servicio: Limpieza Estandar,1
2024-03-08,Servicio: Formateo,1
2024-03-13,Servicio: Formateo,1
2024-03-13,Servicio: Limpieza Gamer/AIO,1
2024-03-14,Servicio: Limpieza Estandar,1
2024-03-22,Servicio: Formateo,1
2024-03-22,Servicio: Limpieza Estandar,1
2024-03-22,Servicio: Programas Basicos,1
2024-03-24,Servicio: Limpieza Estandar,1
2024-03-25,Servicio: Cambio Fuente Poder,1
2024-03-25,Servicio: Reparacion Bisagras/Display,1
2024-03-26,Servicio: Limpieza Estandar,1
2024-04-02,Servicio: Programas Basicos,1
2024-04-02,Servicio: Formateo,1
2024-04-03,Servicio: Formateo,1
2024-04-03,Servicio: Limpieza Estandar,1
2024-04-04,Servicio: Formateo,1
2024-04-09,Servicio: Limpieza Estandar,1
2024-04-10,Servicio: Formateo,1
2024-04-10,Servicio: Limpieza Estandar,2
2024-04-10,Servicio: Programas Basicos,1
2024-04-18,Servicio: Limpieza Estandar,1
