Fecha,Producto,Ventas
2023-01-04,Hardware: Display / Pantalla,1
2023-01-04,Hardware: SSD 480 GB,1
2023-01-15,Hardware: Teclado,1
2023-01-16,Hardware: SSD 240 GB,1
2023-01-16,Hardware: Teclado,1
2023-01-17,Hardware: Memoria RAM DDR4,1
2023-01-20,Hardware: Memoria RAM DDR4,1
2023-01-23,Hardware: Memoria RAM DDR4,1
2023-01-25,Hardware: SSD 240 GB,1
2023-01-26,Hardware: Memoria RAM DDR4,1
2023-01-31,Hardware: SSD 1 TB,1
2023-01-31,Hardware: Teclado,1
2023-02-04,Hardware: SSD 1 TB,1
2023-02-14,Hardware: SSD 240 GB,1
2023-02-15,Hardware: SSD 1 TB,1
2023-02-15,Hardware: SSD 480 GB,1
2023-03-15,Hardware: SSD 240 GB,1
2023-03-23,Hardware: SSD 480 GB,1
2023-04-12,Hardware: Fuente de Poder,1
2023-06-08,Hardware: Memoria RAM DDR4,1
2023-06-21,Hardware: Memoria RAM DDR4,1
2023-06-23,Hardware: Memoria RAM DDR4,2
2023-06-23,Hardware: SSD 240 GB,1
2023-07-04,Hardware: Memoria RAM DDR4,1
2023-07-04,Hardware: SSD 240 GB,1
2023-07-06,Hardware: Display / Pantalla,1
2023-07-28,Hardware: Memoria RAM DDR4,2
2023-07-31,Hardware: Memoria RAM DDR4,2
2023-07-31,Hardware: SSD 480 GB,1
2023-08-01,Hardware: Carcasa HDD a USB,1
2023-08-02,Hardware: Fuente de Poder,1
2023-08-09,Hardware: Fuente de Poder,1
2023-08-09,Hardware: Memoria RAM DDR4,1
2023-08-09,Hardware: SSD 1 TB,1
2023-08-09,Hardware: SSD 240 GB,1
2023-08-09,Hardware: SSD 480 GB,1
2023-08-09,Hardware: Teclado,1
2023-08-10,Hardware: Memoria RAM DDR4,1
2023-08-11,Hardware: Teclado,1
2023-08-15,Hardware: Memoria RAM DDR4,1
2023-08-16,Hardware: SSD 480 GB,1
2023-09-01,Hardware: Display / Pantalla,1
2023-09-01,Hardware: SSD 240 GB,2
2023-09-02,Hardware: Memoria RAM DDR4,1
2023-09-03,Hardware: Memoria RAM DDR4,1
2023-09-12,Hardware: SSD 240 GB,1
2023-09-19,Hardware: Teclado,1
2023-09-25,Hardware: Teclado,1
2023-09-26,Hardware: SSD 240 GB,1
2023-10-03,Hardware: SSD 240 GB,1
2023-10-11,Hardware: SSD 240 GB,1
2023-10-17,Hardware: SSD 240 GB,1
2023-10-28,Hardware: Display / Pantalla,1
2023-10-31,Hardware: Display / Pantalla,1
2023-11-04,Hardware: Memoria RAM DDR4,1
2023-11-21,Hardware: Memoria RAM DDR4,1
2023-11-23,Hardware: Teclado,1
2023-11-24,Hardware: Carcasa HDD a USB,1
2023-11-24,Hardware: SSD 240 GB,1
2023-11-27,Hardware: SSD 1 TB,1
2023-11-29,Hardware: Carcasa HDD a USB,1
2023-12-07,Hardware: SSD 480 GB,1
2023-12-13,Hardware: SSD 240 GB,1
2023-12-13,Hardware: Teclado,1
2024-01-18,Hardware: Fuente de Poder,1
2024-01-19,Hardware: Display / Pantalla,1
2024-01-31,Hardware: SSD 240 GB,1
2024-02-02,Hardware: SSD 480 GB,1
2024-02-08,Hardware: SSD 240 GB,1
2024-02-18,Hardware: Memoria RAM DDR4,1
2024-02-18,Hardware: Teclado,1
2024-02-29,Hardware: SSD 240 GB,1
2024-03-05,Hardware: SSD 240 GB,1
2024-03-08,Hardware: SSD 1 TB,1
2024-03-22,Hardware: SSD 240 GB,1
2024-03-25,Hardware: Display / Pantalla,1
2024-03-25,Hardware: Fuente de Poder,1
2024-04-02,Hardware: SSD 240 GB,1
2024-04-03,Hardware: SSD 480 GB,1
2024-04-03,Hardware: Carcasa HDD a USB,1
2024-04-04,Hardware: Memoria RAM DDR4,1
2024-04-04,Hardware: SSD 480 GB,1
2024-04-09,Hardware: Fuente de Poder,1
2024-04-10,Hardware: SSD 240 GB,1
2024-05-06,Hardware: Memoria RAM DDR4,1
2024-05-13,Hardware: Carcasa HDD a USB,1
2024-05-20,Hardware: Fuente de Poder,1
2024-05-23,Hardware: Memoria RAM DDR4,1
2024-06-07,Hardware: Display / Pantalla,1
2024-06-16,Hardware: SSD 480 GB,1
2024-06-18,Hardware: SSD 1 TB,1
2024-06-20,Hardware: Memoria RAM DDR4,1
2024-06-26,Hardware: SSD 480 GB,1
2024-07-09,Hardware: Memoria RAM DDR4,1
2024-07-09,Hardware: SSD 1 TB,1
2024-07-16,Hardware: Memoria RAM DDR4,1
2024-07-18,Hardware: Fuente de Poder,1
2024-07-18,Hardware: Memoria RAM DDR4,1
2024-07-21,Hardware: Memoria RAM DDR4,1
