Fecha,Producto,Ventas
2025-12-22,Laptop Dell Inspiron,19
2024-09-05,Memoria RAM 16GB,16
2024-06-02,Laptop Dell Inspiron,6
2025-08-06,Monitor 24 pulgadas,8
2024-12-02,Laptop Dell Inspiron,4
2025-04-17,Memoria RAM 16GB,17
2024-01-08,Memoria RAM 16GB,13
2025-10-16,Memoria RAM 16GB,16
2023-11-28,Monitor 24 pulgadas,31
2023-04-21,Monitor 24 pulgadas,12
2024-08-02,Tarjeta Gráfica RTX 4060,7
2023-04-22,Tarjeta Gráfica RTX 4060,4
2024-09-02,Procesador Ryzen 5,9
2025-06-29,Monitor 24 pulgadas,4
2025-06-25,Laptop Dell Inspiron,4
2025-12-12,Laptop Dell Inspiron,25
2025-04-20,Procesador Ryzen 5,11
2023-04-23,Laptop Dell Inspiron,3
2025-05-06,Memoria RAM 16GB,17
2025-09-04,Monitor 24 pulgadas,19
2025-07-04,Procesador Ryzen 5,13
2025-01-19,Memoria RAM 16GB,13
2024-05-27,Tarjeta Gráfica RTX 4060,5
2025-09-24,Tarjeta Gráfica RTX 4060,1
2023-10-19,Laptop Dell Inspiron,2
2026-01-29,Laptop Dell Inspiron,6
2025-03-18,Laptop Dell Inspiron,6
2024-07-17,Memoria RAM 16GB,18
2024-03-27,Monitor 24 pulgadas,7
2023-06-12,Monitor 24 pulgadas,9
2024-02-23,Tarjeta Gráfica RTX 4060,6
2026-03-04,Procesador Ryzen 5,7
2023-05-11,Procesador Ryzen 5,8
2023-06-23,Procesador Ryzen 5,13
2025-10-27,Monitor 24 pulgadas,7
2024-10-23,Tarjeta Gráfica RTX 4060,1
2025-12-18,Laptop Dell Inspiron,19
2024-04-16,Laptop Dell Inspiron,6
2025-11-12,Laptop Dell Inspiron,5
2026-02-20,Laptop Dell Inspiron,9
2023-06-19,Laptop Dell Inspiron,4
2024-09-26,Monitor 24 pulgadas,6
2026-03-30,Procesador Ryzen 5,9
2023-11-01,Monitor 24 pulgadas,9
2023-12-09,Procesador Ryzen 5,9
2025-01-10,Laptop Dell Inspiron,9
2024-11-18,Laptop Dell Inspiron,29
2025-07-31,Tarjeta Gráfica RTX 4060,2
2024-07-20,Procesador Ryzen 5,10
2024-04-03,Tarjeta Gráfica RTX 4060,5
2025-03-19,Tarjeta Gráfica RTX 4060,1
2026-03-14,Procesador Ryzen 5,13
2025-01-09,Monitor 24 pulgadas,8
2026-01-30,Monitor 24 pulgadas,8
2023-11-03,Procesador Ryzen 5,13
2026-01-17,Tarjeta Gráfica RTX 4060,4
2025-12-20,Monitor 24 pulgadas,23
2024-08-30,Laptop Dell Inspiron,17
2023-09-12,Procesador Ryzen 5,8
2023-04-28,Laptop Dell Inspiron,8
2023-09-19,Memoria RAM 16GB,17
2024-12-15,Monitor 24 pulgadas,24
2024-10-17,Procesador Ryzen 5,11
2025-11-25,Procesador Ryzen 5,32
2024-06-11,Procesador Ryzen 5,9
2023-10-24,Tarjeta Gráfica RTX 4060,4
2024-02-05,Monitor 24 pulgadas,6
2025-12-25,Procesador Ryzen 5,10
2024-06-24,Procesador Ryzen 5,10
2025-01-30,Memoria RAM 16GB,17
2023-06-13,Laptop Dell Inspiron,6
2026-03-19,Monitor 24 pulgadas,7
2026-01-14,Monitor 24 pulgadas,7
2024-10-13,Tarjeta Gráfica RTX 4060,5
2025-10-24,Laptop Dell Inspiron,6
2023-11-23,Tarjeta Gráfica RTX 4060,30
2024-11-17,Memoria RAM 16GB,42
2025-01-02,Memoria RAM 16GB,13
2023-09-23,Tarjeta Gráfica RTX 4060,5
2024-06-21,Monitor 24 pulgadas,11
2023-07-02,Laptop Dell Inspiron,4
2026-01-20,Memoria RAM 16GB,14
2025-11-12,Procesador Ryzen 5,6
2024-05-02,Laptop Dell Inspiron,7
2024-02-24,Monitor 24 pulgadas,9
2026-03-14,Tarjeta Gráfica RTX 4060,3
2024-04-23,Procesador Ryzen 5,8
2024-07-11,Tarjeta Gráfica RTX 4060,4
2024-04-10,Tarjeta Gráfica RTX 4060,0
2026-02-08,Procesador Ryzen 5,10
2024-01-26,Memoria RAM 16GB,20
2023-04-28,Tarjeta Gráfica RTX 4060,4
2024-04-28,Laptop Dell Inspiron,2
2025-02-15,Laptop Dell Inspiron,9
2023-11-21,Memoria RAM 16GB,41
2025-08-24,Procesador Ryzen 5,11
2024-03-28,Laptop Dell Inspiron,4
2025-08-01,Procesador Ryzen 5,12
2023-12-22,Monitor 24 pulgadas,22
2024-08-26,Memoria RAM 16GB,19
2024-06-22,Procesador Ryzen 5,11
2025-09-22,Memoria RAM 16GB,17
2024-02-22,Monitor 24 pulgadas,9
2023-11-28,Tarjeta Gráfica RTX 4060,29
2024-03-31,Tarjeta Gráfica RTX 4060,1
2024-11-22,Tarjeta Gráfica RTX 4060,32
2025-10-25,Laptop Dell Inspiron,10
2025-03-30,Procesador Ryzen 5,6
2024-06-06,Memoria RAM 16GB,13
2023-11-17,Laptop Dell Inspiron,34
2023-08-13,Memoria RAM 16GB,16
2025-08-17,Procesador Ryzen 5,13
2024-09-24,Monitor 24 pulgadas,5
2024-08-15,Memoria RAM 16GB,21
2025-07-16,Tarjeta Gráfica RTX 4060,3
2024-12-11,Procesador Ryzen 5,26
2026-03-11,Monitor 24 pulgadas,7
2025-08-23,Monitor 24 pulgadas,24
2026-01-08,Tarjeta Gráfica RTX 4060,3
2025-07-18,Procesador Ryzen 5,11
2025-11-16,Tarjeta Gráfica RTX 4060,27
2023-06-22,Laptop Dell Inspiron,4
2026-01-26,Laptop Dell Inspiron,7
2025-11-06,Procesador Ryzen 5,7
2026-03-08,Monitor 24 pulgadas,5
2024-08-11,Memoria RAM 16GB,17
2026-01-10,Monitor 24 pulgadas,11
2025-05-12,Memoria RAM 16GB,17
2024-02-15,Tarjeta Gráfica RTX 4060,2
2025-04-25,Tarjeta Gráfica RTX 4060,5
2025-04-27,Memoria RAM 16GB,16
2023-10-24,Procesador Ryzen 5,9
2024-10-19,Monitor 24 pulgadas,7
2025-04-28,Monitor 24 pulgadas,4
2023-08-29,Procesador Ryzen 5,9
2024-11-29,Laptop Dell Inspiron,32
2024-12-29,Memoria RAM 16GB,18
2024-08-07,Laptop Dell Inspiron,6
2023-07-28,Memoria RAM 16GB,20
2025-09-12,Monitor 24 pulgadas,12
2023-11-18,Procesador Ryzen 5,34
2023-10-27,Procesador Ryzen 5,13
2026-03-15,Memoria RAM 16GB,16
2024-08-10,Tarjeta Gráfica RTX 4060,7
2025-02-08,Tarjeta Gráfica RTX 4060,3
2024-09-14,Memoria RAM 16GB,17
2025-11-27,Monitor 24 pulgadas,34
2025-07-03,Tarjeta Gráfica RTX 4060,5
2024-06-02,Procesador Ryzen 5,8
2025-08-11,Tarjeta Gráfica RTX 4060,0
2024-10-25,Tarjeta Gráfica RTX 4060,4
2025-01-26,Laptop Dell Inspiron,5
2023-04-13,Tarjeta Gráfica RTX 4060,4
2026-04-09,Tarjeta Gráfica RTX 4060,3
2026-01-30,Laptop Dell Inspiron,10
2023-08-24,Tarjeta Gráfica RTX 4060,7
2024-11-02,Memoria RAM 16GB,18
2023-10-18,Monitor 24 pulgadas,9
2025-01-07,Memoria RAM 16GB,15
2024-07-10,Monitor 24 pulgadas,5
2025-06-24,Laptop Dell Inspiron,3
2025-11-03,Laptop Dell Inspiron,7
2025-12-25,Tarjeta Gráfica RTX 4060,5
2025-08-02,Procesador Ryzen 5,12
2024-01-03,Memoria RAM 16GB,17
2025-05-25,Tarjeta Gráfica RTX 4060,3
2025-06-14,Laptop Dell Inspiron,6
2025-03-10,Memoria RAM 16GB,18
2025-01-16,Laptop Dell Inspiron,2
2025-10-07,Memoria RAM 16GB,13
2025-12-30,Monitor 24 pulgadas,5
2024-09-22,Monitor 24 pulgadas,5
2025-04-21,Laptop Dell Inspiron,2
2023-04-09,Procesador Ryzen 5,7
2025-03-10,Procesador Ryzen 5,8
2025-08-04,Procesador Ryzen 5,6
2025-10-07,Procesador Ryzen 5,7
2024-10-27,Memoria RAM 16GB,14
2023-10-18,Tarjeta Gráfica RTX 4060,4
2024-02-17,Laptop Dell Inspiron,5
2024-08-31,Memoria RAM 16GB,23
2023-07-22,Monitor 24 pulgadas,8
2024-11-21,Laptop Dell Inspiron,27
2024-05-30,Laptop Dell Inspiron,2
2024-08-01,Procesador Ryzen 5,11
2025-05-27,Laptop Dell Inspiron,6
2026-01-26,Monitor 24 pulgadas,5
2025-11-15,Procesador Ryzen 5,35
2026-02-25,Monitor 24 pulgadas,5
2025-02-27,Laptop Dell Inspiron,6
2023-06-28,Procesador Ryzen 5,8
